FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,polling_place_id,longitude,latitude
223,ExactMatch,Rooftop,603,Lester Town Hall,30306 Lester Rd.,Lester,35647,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0822,-87.15330504999997,34.99101638999999
494,ExactMatch,Exact,70,Enterprise Fire Station,6162 Co Rd 24,Verbena,36091,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0823,-86.61517475999996,32.7355
495,ExactMatch,Approx,90,Verbena Fire Station,3885 US Hwy 31,Verbena,36091,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0824,-86.49660000000004,32.74359999999998
503,ExactMatch,Exact,240,Senior Community Center,500 Enterprise Rd,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0825,-86.63088207000001,32.829917239999965
505,DirectionSuffixRemoved,Exact,260,Clanton Recreation Building,309 1st St North,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0826,-86.62344127000004,32.83873533000003
506,ExactMatch,Exact,270,Chilton County Courthouse,500 2nd Ave North,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0827,-86.62908275999999,32.84028207000002
504,KnownAlternateName,Exact,250,Clanton Library,100 1st Ave,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0828,-86.62448943999999,32.84097889000003
500,ExactMatch,Approx,200,Thorsby Town Hall,21060 US Hwy 31,Thorsby,35171,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0829,-86.7117,32.911399999999986
496,ExactMatch,Exact,120,Cane Creek - Gap of Mt. Fire Station,768 Co Rd 55,Clanton,35046,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0830,-86.60209999999995,32.91761244000001
501,ExactMatch,Exact,210,Collins Chapel Fire Station,13274 CO Rd 29,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0831,-86.67492347,32.928197960000034
497,ExactMatch,Exact,140,Union Grove Fire Station,10896 Co Rd 51,Jemison,35085,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0832,-86.66806451000002,32.97443226
1034,ExactMatch,Exact,,County Line Vol Fire Dept,55 Lake Tate Rd,Sylacauga,35151,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0833,-86.29127840000002,33.12339556000003
308,ExactMatch,Rooftop,PRECINCT 37,Old Mill Square Park - Grand Hall,105 West College St,Columbiana,35051,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0834,-86.60861206,33.178226470000034
1028,ExactMatch,Exact,,Lay Lake Vol Fire Dept,225 Heasletts Rd,Childersburg,35044,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0835,-86.45315227999997,33.192079410000034
300,ExactMatch,Rooftop,PRECINCT 27,Wilsonville United Methodist Church,111 School St,Wilsonville,35186,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0836,-86.48456572999997,33.236644740000024
1029,KnownAlternateName,Exact,,St Andrews Methodist Church,35924 US Hwy 280,Sylacauga,35150,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0837,-86.33085306,33.236953059999955
602,ExactMatch,Approx,"0108, 0111",Equality United Methodist Church and Fellowship Hall,281 AL Hwy 259,Equality,36026,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0838,-86.10190000000003,32.766
606,ExactMatch,Approx,"0710, 0712, 0721",Courthouse,9709 US Hwy 231,Rockford,35136,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0839,-86.22419999999998,32.88009999999996
603,ExactMatch,Exact,"0302, 0306",Kellyton Civic Complex Cafeteria,179 Church Street,Kellyton,35089,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0840,-86.03455621999997,32.98006093999996
605,ExactMatch,Exact,"0603, 0614",Hanover Fire Dept,17294 US Hwy 231,Rockford,35136,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0841,-86.20170388,32.994938810000036
604,ExactMatch,Approx,"0401, 0404",Goodwater Community Center,22012 AL Hwy 9,Goodwater,35072,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0842,-86.06620000000001,33.00060000000002
551,ExactMatch,Approx,1001,Hollins Community Center 1001,45 Graphite Rd,Hollins,35082,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0843,-86.14539999999998,33.10389999999998
548,ExactMatch,Approx,802,Coleta Fire Department 0802,15871 Co Rd 7,Talladega,35160,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0844,-86.04559999999998,33.11830000000004
536,ExactMatch,Approx,1401,Bluff Springs Fire Dept 1401,7637 Bluff Springs Rd,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0845,-85.82680000000003,33.169100000000036
1030,DirectionSuffixRemoved,Exact,,J Craig Smith Comm Center,2 8th St W,Sylacauga,35150,Talladega,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,0846,-86.25069999999995,33.17809999999996
301,ExactMatch,Exact,PRECINCT 28,Chelsea Community Center,11101 Chelsea Rd,Chelsea,35043,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0847,-86.62670000000001,33.334900000000026
121,WeakName,Exact,,PREC 4005 � GARDENDALE FIRST BAPTIST CHURCH,316 MOUNTAIN CREST PKWY,GARDENDALE,35071,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0848,-86.66610000000001,33.34636883000003
281,ExactMatch,Rooftop,PRECINCT 6,New Life Church,11580 Hwy 280,Sterrett,35147,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0849,-86.54293059999999,33.35152053999996
284,KnownAlternateName,Exact,PRECINCT 10,County Services 280,19220 Hwy 280,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0850,-86.65778989999998,33.36297979999998
282,ExactMatch,Rooftop,PRECINCT 8,North Shelby Baptist Church,4100 Belcher Dr,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0851,-86.66771697999997,33.37611007999996
290,ExactMatch,Approx,PRECINCT 16,New Hope Cumberland Presbyterian Church,5521 Double Oak Ln,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0852,-86.62899999999999,33.399700000000024
289,ExactMatch,Rooftop,PRECINCT 15,Meadow Brook Baptist Church,4984 Meadow Brook Rd,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0853,-86.69462585000001,33.40845490000001
